Provider State,Average Covered Charges
Alabama,$46616.88
Alabama,$14891.23
Alabama,$17657.20
Alabama,$26197.07
Alabama,$45197.81
Alaska,$31858.54
Arizona,$25171.21
Arizona,$27065.23
Arizona,$19274.15
Arizona,$22938.47
Arizona,$21874.00
Arizona,$39356.13
Arizona,$31522.83
Arizona,$37891.86
Arizona,$26047.38
Arizona,$25252.58
Arizona,$33059.06
Arizona,$26638.18
Arizona,$23655.30
Arizona,$27149.85
Arizona,$28950.80
Arizona,$57060.06
Arizona,$21302.23
Arizona,$34851.41
Arkansas,$22218.35
Arkansas,$10587.20
Arkansas,$22581.02
Arkansas,$8630.42
Arkansas,$16201.30
Arkansas,$6492.09
Arkansas,$10578.88
Arkansas,$20292.81
Arkansas,$23949.33
Arkansas,$14686.80
Arkansas,$16416.77
California,$61688.53
California,$31442.75
California,$35709.80
California,$21153.09
California,$28830.41
California,$53742.74
California,$56420.94
California,$23186.05
California,$34588.28
California,$45039.58
California,$33403.12
California,$29651.17
California,$41443.16
California,$33040.15
California,$97439.50
California,$50999.91
California,$37542.81
California,$28268.45
California,$30474.10
California,$49796.81
California,$25281.84
California,$68020.62
California,$33826.86
California,$34389.38
California,$64429.50
California,$39461.75
California,$51793.50
California,$78773.75
California,$30237.36
California,$24102.80
California,$47688.00
California,$25761.53
California,$47832.81
California,$40122.59
California,$49641.00
California,$59222.11
California,$20552.27
California,$44037.48
California,$35616.60
California,$36551.82
California,$47130.00
California,$67988.45
California,$32757.81
California,$31504.42
California,$25208.84
California,$30182.11
California,$85551.61
California,$23502.00
California,$78925.33
California,$47460.54
California,$69040.33
California,$45402.83
California,$42594.69
California,$70039.18
California,$23641.72
California,$25975.16
California,$39548.02
California,$148128.43
California,$53105.36
California,$48627.73
California,$32546.59
California,$50830.72
California,$34735.37
California,$33223.11
California,$85618.27
California,$39118.58
California,$51080.50
California,$45380.00
California,$52172.17
California,$45675.08
California,$35669.50
California,$37289.05
California,$49470.33
California,$91198.40
California,$59486.80
California,$22742.32
California,$36151.76
California,$46465.84
Colorado,$25911.78
Colorado,$30755.72
Colorado,$24186.75
Colorado,$16410.71
Colorado,$24896.08
Colorado,$20740.75
Colorado,$17074.50
Colorado,$25798.29
Colorado,$23742.75
Colorado,$35194.05
Colorado,$29375.75
Colorado,$38774.75
Colorado,$24455.40
Colorado,$27422.30
Connecticut,$29235.76
Connecticut,$18370.38
Connecticut,$35920.84
Connecticut,$16630.15
Connecticut,$32121.81
Connecticut,$11702.41
Connecticut,$21943.66
Connecticut,$44167.11
Connecticut,$21115.09
Connecticut,$23791.00
Connecticut,$20088.32
Connecticut,$21582.63
Connecticut,$17292.12
Connecticut,$31530.66
Connecticut,$17218.40
Connecticut,$25056.61
Delaware,$19023.86
Delaware,$15919.36
District of Columbia,$37544.56
District of Columbia,$36903.25
District of Columbia,$14635.68
District of Columbia,$25516.91
Florida,$25543.07
Florida,$41973.90
Florida,$27545.01
Florida,$26941.47
Florida,$33338.36
Florida,$49960.41
Florida,$19154.12
Florida,$19845.30
Florida,$20514.25
Florida,$29571.37
Florida,$29125.75
Florida,$17982.75
Florida,$15899.48
Florida,$16213.95
Florida,$27145.12
Florida,$21912.42
Florida,$26618.16
